t / s	DataSet / -	tstep / s	Line / -	Command / -	U / V	I / A	Ahstep / Ah	CycCount / -	State / -
20379.4983186667	3314	795.018079333332	9	Discharge	4.30790363565082	-0.0850023466768332	-0.0187711693578841	1	1
20384.498074	3315	800.017834666666	9	Discharge	4.30790363565082	-0.0850027828459713	-0.0188892188295629	1	1
20389.4990666667	3316	805.018827333334	9	Discharge	4.30770160480921	-0.0849992934928658	-0.0190072974641133	1	1
20394.5005116667	3317	810.020272333334	9	Discharge	4.30770160480921	-0.0850001658311422	-0.0191253867966047	1	1
20399.5020353333	3318	815.021795999999	9	Discharge	4.30770160480921	-0.0849988573237276	-0.0192434779919628	1	1
20404.4982363333	3319	820.017996999998	9	Discharge	4.30770160480921	-0.0849992934928658	-0.0193614435229855	1	1
20409.4986513333	3320	825.018412	9	Discharge	4.3074995739676	-0.0850006020002804	-0.0194795085258642	1	1
20414.4983963333	3321	830.018157000001	9	Discharge	4.3074995739676	-0.0849992934928658	-0.0195975577219617	1	1
20419.4983966667	3322	835.018157333333	9	Discharge	4.3074995739676	-0.0849992934928658	-0.0197156129464534	1	1
20424.4984126667	3323	840.018173333335	9	Discharge	4.30729754312599	-0.0849979849854512	-0.0198336685339204	1	1
20429.498914	3324	845.018674666668	9	Discharge	4.30729754312599	-0.084999729662004	-0.0199517355806162	1	1
20434.499405	3325	850.019165666665	9	Discharge	4.30709551228438	-0.0849992934928658	-0.0200698023854503	1	1
20439.4997113333	3326	855.019472	9	Discharge	4.30689348144277	-0.0849992934928658	-0.0201878648362226	1	1
20444.501226	3327	860.020986666668	9	Discharge	4.30689348144277	-0.0850014743385567	-0.0203059558150159	1	1
20449.5015593334	3328	865.02132	9	Discharge	4.30689348144277	-0.0849984211545894	-0.0204240189123465	1	1
20454.4993533333	3329	870.019114	9	Discharge	4.30689348144277	-0.0849992934928658	-0.0205420220252803	1	1
20459.5005416667	3330	875.020302333335	9	Discharge	4.30689348144277	-0.0849992934928658	-0.0206601052887865	1	1
20464.5019976667	3331	880.021758333334	9	Discharge	4.30669145060116	-0.0849984211545894	-0.0207781948716749	1	1
20469.499886	3332	885.019646666668	9	Discharge	4.30669145060116	-0.0850006020002804	-0.0208962002110534	1	1
20474.500393	3333	890.020153666667	9	Discharge	4.30669145060116	-0.084999729662004	-0.021014267384812	1	1
20479.4998916667	3334	895.019652333335	9	Discharge	4.30648941975955	-0.084999729662004	-0.0211323107406828	1	1
20484.4997813333	3335	900.019541999999	9	Discharge	4.30648941975955	-0.0849988573237276	-0.021250363336342	1	1
20489.5001143333	3336	905.019874999999	9	Discharge	4.30648941975955	-0.084999729662004	-0.0213684264190156	1	1
20494.5003543333	3337	910.020115000001	9	Discharge	4.30628738891794	-0.084997548816313	-0.0214864872929705	1	1
20499.5008436667	3338	915.020604333335	9	Discharge	4.30628738891794	-0.0850006020002804	-0.0216045540557559	1	1
20504.5021766667	3339	920.021937333332	9	Discharge	4.30608535807633	-0.085001910507695	-0.0217226407756018	1	1
20509.5001603333	3340	925.019921000002	9	Discharge	4.30608535807633	-0.0850001658311422	-0.0218406484141501	1	1
20514.5004886667	3341	930.020249333333	9	Discharge	4.30608535807633	-0.084999729662004	-0.021958711394553	1	1
20519.4999613333	3342	935.019722000002	9	Discharge	4.30588332723472	-0.0850006020002804	-0.0220767541674317	1	1
20524.5003046667	3343	940.020065333334	9	Discharge	4.30588332723472	-0.0850006020002804	-0.0221948175048019	1	1
20529.4998973333	3344	945.019658000002	9	Discharge	4.30588332723472	-0.0849988573237276	-0.0223128631008504	1	1
20534.500518	3345	950.020278666667	9	Discharge	4.30568129639311	-0.0850001658311422	-0.0224309329615635	1	1
20539.5019576667	3346	955.021718333333	9	Discharge	4.30568129639311	-0.0850001658311422	-0.0225490221375464	1	1
20544.5019786667	3347	960.021739333332	9	Discharge	4.30568129639311	-0.0850010381694185	-0.0226670778467622	1	1
20549.502284	3348	965.022044666666	9	Discharge	4.3054792655515	-0.0850001658311422	-0.0227851402717885	1	1
20554.4999733333	3349	970.019734	9	Discharge	4.30527723470989	-0.0850006020002804	-0.0229031409398342	1	1
20559.5013226667	3350	975.021083333334	9	Discharge	4.30527723470989	-0.0850001658311422	-0.0230212280185628	1	1
20564.5017563333	3351	980.021517000001	9	Discharge	4.30527723470989	-0.0850001658311422	-0.0231392934773697	1	1
20569.5019486667	3352	985.021709333332	9	Discharge	4.30527723470989	-0.084999729662004	-0.0232573532338055	1	1
20574.5033436667	3353	990.023104333332	9	Discharge	4.30507520386828	-0.0850001658311422	-0.0233754414040477	1	1
20579.5013883333	3354	995.021149	9	Discharge	4.30507520386828	-0.0849992934928658	-0.0234934504530321	1	1
20584.5015083333	3355	1000.021269	9	Discharge	4.30487317302667	-0.084999729662004	-0.0236115085299242	1	1
20589.5017433334	3356	1005.021504	9	Discharge	4.30487317302667	-0.0850001658311422	-0.0237295692870958	1	1
20594.5021506667	3357	1010.02191133333	9	Discharge	4.30487317302667	-0.084999729662004	-0.0238476341301603	1	1
20599.502616	3358	1015.02237666667	9	Discharge	4.30467114218506	-0.0849992934928658	-0.0239657003600562	1	1
20604.5020736667	3359	1020.02183433333	9	Discharge	4.30467114218506	-0.084999729662004	-0.0240837428002559	1	1
20609.5025943333	3360	1025.022355	9	Discharge	4.30467114218506	-0.0850010381694185	-0.0242018103125097	1	1
20614.5018136667	3361	1030.02157433333	9	Discharge	4.30446911134345	-0.0850006020002804	-0.0243198471093753	1	1
20619.5029976667	3362	1035.02275833333	9	Discharge	4.30446911134345	-0.0849992934928658	-0.0244379302889468	1	1
20624.5025706667	3363	1040.02233133333	9	Discharge	4.30446911134345	-0.0849992934928658	-0.0245559754372253	1	1
20629.502203	3364	1045.02196366667	9	Discharge	4.30426708050184	-0.0850014743385567	-0.0246740220266283	1	1
20634.50334	3365	1050.02310066667	9	Discharge	4.30426708050184	-0.0849988573237276	-0.0247921041208983	1	1
20639.5034006667	3366	1055.02316133333	9	Discharge	4.30426708050184	-0.0849984211545894	-0.024910160800723	1	1
20644.503443	3367	1060.02320366667	9	Discharge	4.30406504966023	-0.0850001658311422	-0.0250282170455132	1	1
20649.5029596667	3368	1065.02272033333	9	Discharge	4.30406504966023	-0.0849992934928658	-0.0251462608860226	1	1
20654.503883	3369	1070.02364366667	9	Discharge	4.30386301881862	-0.0850001658311422	-0.0252643379333527	1	1
20659.505322	3370	1075.02508266667	9	Discharge	4.30386301881862	-0.084999729662004	-0.0253824271427183	1	1
20664.506721	3371	1080.02648166667	9	Discharge	4.30386301881862	-0.0850006020002804	-0.0255005154147215	1	1
20669.5081353333	3372	1085.027896	9	Discharge	4.30366098797701	-0.0850001658311422	-0.0256186040555577	1	1
20674.5028416667	3373	1090.02260233333	9	Discharge	4.30366098797701	-0.084999729662004	-0.0257365343084489	1	1
20679.502816	3374	1095.02257666667	9	Discharge	4.30366098797701	-0.0849988573237276	-0.0258545889507277	1	1
20684.5030333333	3375	1100.022794	9	Discharge	4.30366098797701	-0.0850001658311422	-0.0259726492918369	1	1
20689.502859	3376	1105.02261966667	9	Discharge	4.3034589571354	-0.0849988573237276	-0.0260907003777068	1	1
20694.503522	3377	1110.02328266667	9	Discharge	4.3034589571354	-0.0850006020002804	-0.0262087712478223	1	1
20699.504008	3378	1115.02376866667	9	Discharge	4.3034589571354	-0.0850006020002804	-0.0263268379201757	1	1
20704.503563	3379	1120.02332366667	9	Discharge	4.30325692629379	-0.0850006020002804	-0.0264448826074454	1	1
20709.503245	3380	1125.02300566667	9	Discharge	4.30325692629379	-0.0850006020002804	-0.0265629303185361	1	1
20714.5039596667	3381	1130.02372033333	9	Discharge	4.30325692629379	-0.0849992934928658	-0.0266810024011628	1	1
20719.5040376667	3382	1135.02379833333	9	Discharge	4.30305489545218	-0.084999729662004	-0.0267990594553629	1	1
20724.5055513333	3383	1140.025312	9	Discharge	4.30305489545218	-0.0849992934928658	-0.0269171503975172	1	1
20729.5031963334	3384	1145.022957	9	Discharge	4.30285286461057	-0.084999729662004	-0.0270351499999845	1	1
20734.503201	3385	1150.02296166667	9	Discharge	4.30285286461057	-0.0850006020002804	-0.0271532053192932	1	1
20739.504167	3386	1155.02392766667	9	Discharge	4.30285286461057	-0.0849992934928658	-0.0272712833516219	1	1
20744.5038706667	3387	1160.02363133334	9	Discharge	4.30285286461057	-0.084999729662004	-0.0273893315733632	1	1
20749.5043713333	3388	1165.024132	9	Discharge	4.30265083376896	-0.0850001658311422	-0.0275073986124982	1	1
20754.5037916667	3389	1170.02355233333	9	Discharge	4.30265083376896	-0.0849984211545894	-0.0276254401460408	1	1
20759.504241	3390	1175.02400166667	9	Discharge	4.30265083376896	-0.0850006020002804	-0.0277435059814121	1	1
20764.504757	3391	1180.02451766667	9	Discharge	4.30244880292735	-0.0850006020002804	-0.0278615733791558	1	1
20769.5052603333	3392	1185.025021	9	Discharge	4.30244880292735	-0.0849992934928658	-0.0279796404615184	1	1
20774.5048406667	3393	1190.02460133333	9	Discharge	4.30224677208574	-0.0850001658311422	-0.0280976857789599	1	1
20779.5055513333	3394	1195.025312	9	Discharge	4.30224677208574	-0.0850006020002804	-0.0282157577696981	1	1
20784.5047966667	3395	1200.02455733333	9	Discharge	4.30204474124413	-0.0850006020002804	-0.028333795165138	1	1
